# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	255	255	255
20	textures\misc.png	176	224	248
10	textures\enemies.png	3	26	110
30	textures\tiles.png	255	128	192
40	textures\tiles4.png	255	255	255
50	textures\enemies-2.png	0	128	128
60	textures\enemy3.png	255	255	255

# id	left	top	right	bottom	texture_id
[SPRITES]
# BIG MARIO 
# idle right
10001	246	154	260	181	0
# walk
10002	275	154	290	181	0		
10003	304	154	321	181	0
# idle left
10011	186	154	200	181	0
#walk
10012	155	154	170	181	0
10013	125	154	140	181	0
# die 
10099	215	120	231	135	0
# handle right
05001	5	154	21	182	0
# handle left
05015	425	154	441	182	0

#jump right
08014	395	275	411	301	0
# jump left
08002	35	275	51	301	0

#shoot right
08015	423	274	444	301	0

#shoot left
08001	2	274	23	301	0

# SMALL MARIO
# idle small right
10021	247	0	259	15	0
# walk
10022	275	0	291	15	0
10023	306	0	320	15	0
# idle small left
10031	187	0	198	15	0
# walk
10032	155	0	170	15	0
10033	125	0	139	15	0
#jump right
3013	395	80	411	96	0

#jump left
3002	35	80	51	96	0


# FIRE MARIO
# idle fire right
11009	246	394	260	421	0

# walk
11010	275	394	291	421	0
11011	305	395	321	421	0

# idle fire left
11007	186	394	200	421	0


# walk
11006	155	394	171	421	0
11005	125	395	141	421	0

#jump right 
14002 	34	514	52	542	0

#jump left
14014	395 	514	412	542	0



#BRICK
50001	222	222	238	238	30
50002	239	222	255	238	30
50003	256	222	272	238	30

#BRICK BIG
50004	426	256	442	272	30
50005	443	256	459	272	30

50006	10	10	58	58	40

#BRICK BIGGER
50007	9	27	24	42	40
50008	26	27	41	42	40

#BRICK BIGGER (SECOND-FLOOR)
50009	9	11	24	26	40
50010	25	11	40	26	40

#UPPER BRICK (WIDTH 15, HEIGHT 7)
50011	9	11	24	18	40
50012	26	11	41	18	40

#PINK BRICK (down to up)
50020	1	86	17	102	30
50021	18	86	34	102	30
50022	35	86	51	102	30
50023	1	69	17	85	30
50024	18	69	34	85	30
50025	35	69	51	85	30
50026	1	52	17	68	30
50027	18	52	34	68	30
50028	35	52	51	68	30

#BLUE BRICK (down to up) 
50030	52	86	68	102	30
50031	69	86	85	102	30
50032	86	86	102	102	30
50033	52	69	68	85	30
50034	69	69	85	85	30
50035	86	69	102	85	30
50036	52	52	68	68	30
50037	69	52	85	68	30
50038	86	52	102	68	30

#WHITE BRICK (down to up)
50040	1	35	17	51	30
50041	18	35	34	51	30
50042	35	35	51	51	30
50043	1	18	17	34	30
50044	18	18	34	34	30
50045	35	18	51	34	30
50046	1	1	17	17	30
50047	18	1	34	17	30
50048	35	1	51	17	30

#GREEN BRICK (down top up)
50050	52	35	68	51	30
50051	69	35	85	51	30
50052	86	35	102	51	30
50053	52	18	68	34	30
50054	69	18	85	34	30
50055	86	18	102	34	30
50056	52	1	68	17	30
50057	69	1	85	17	30
50058	86	1	102	17	30
	


# TAIL MARIO
#idle tail right
17009	243	634	264	662	0
#walk 
