[SETTINGS]
#size_Of_Cell	#sumOfRows	#sumOfColums
192	15	3

[OBJECTS]
#type	x	y	ani_set_id	extra_settings
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goombam, 3 = Koopas green normal, 4 = Background Object, 5 = Question Brick, 6 = Pipe, 7 = Color Brick, 8 = Coin
# type: 9 = FireBall, 10 = Item, 11 = Flower, 12 = FireFlower, 13 = BreakableBrick, 14 = P Letter, 15 = QuestionCoin, 
# type: 16 = Koopas green flying, 17 = Koopas red normal, 18 = Goomba flying, 19 = Score Ani, 20 = TailMario
# type: 21 = Pipe Dowing,22 = Pipe Upping, 23 = Mushroom Green, 24 = Breakable Mushroom
# type: 25 = word course clear, 26 = word got a card, 27 = word end scene item, 28 = brick fragments
# type: 32 = flower small
# type HUD: 100=HUD PANEL , 101=MARIO_LUIGI_HUD , 102=LIFE, 103= MONEY, 104=SCORE , 105=TIME_PICKER , 106= WORLD , 107=STACK NORMAL, 108=STACK MAX, 109=ITEM, 110=BLACK HUD
# type: 120 = Collision card

#==== BRICK HILLS 1
#===HANG 1
1	0	352	1300
1	16	352	1301
1	32	352	1301
1	48	352	1301
1	64	352	1301
1	80	352	1301
1	96	352	1301
1	112	352	1301
1	128	352	1301
1	144	352	1302
#===HANG 2
1	0	368	1303
1	16	368	1304
1	32	368	1304
1	48	368	1304
1	64	368	1304
1	80	368	1304
1	96	368	1304
1	112	368	1304
1	128	368	1304
1	144	368	1305
#===HANG 3
1	0	384	1303
1	16	384	1304
1	32	384	1304
1	48	384	1304
1	64	384	1304
1	80	384	1304
1	96	384	1304
1	112	384	1304
1	128	384	1304
1	144	384	1305
#===HANG 4
1	0	400	1303
1	16	400	1304
1	32	400	1304
1	48	400	1304
1	64	400	1304
1	80	400	1304
1	96	400	1304
1	112	400	1304
1	128	400	1304
1	144	400	1305
#===HANG 5
1	0	416	1303
1	16	416	1304
1	32	416	1304
1	48	416	1304
1	64	416	1304
1	80	416	1304
1	96	416	1304
1	112	416	1304
1	128	416	1304
1	144	416	1305


#==== BRICK HILLS 2
#HANG 1
7	1968	368	1300
7	1984	368	1301
7	2000	368	1302
#HANG 2
#1	1968	384	1303
#1	1984	384	1304
#1	2000	384	1305


#==== GACH NHO XEP HANG DOC
1	2032	240	1306
1	2032	256	1306
1	2032	272	1306
1	2032	288	1306
1	2032	304	1306
1	2032	320	1306
1	2032	336	1306
1	2032	352	1306
1	2032	368	1306
1	2032	384	1306


#==== TANG GACH BU
#===HANG 1
1	1920	400	1307
1	1936	400	1308
1	1952	400	1308
1	1968	400	1308
1	1984	400	1308
1	2000	400	1308
1	2016	400	1308
1	2032	400	1309
#===HANG 2
1	1920	416	1310
1	1936	416	1311
1	1952	416	1311
1	1968	416	1311
1	1984	416	1311
1	2000	416	1311
1	2016	416	1311
1	2032	416	1312


#ONG CONG 1
#37	1936	336	405
#6	1937	352	82
#6	1953	352	83
#6	1937	368	82
#6	1953	368	83
#6	1937	384	82
#6	1953	384	83

#6	1936	336	300
6	1937	352	300
6	1953	352	301
6	1937	368	300
6	1953	368	301
6	1937	384	300
6	1953	384	301

# --- HÀNG GACH NHO HANG NGANG ----
1	2064	416	30
1	2080	416	31
1	2096	416	31
1	2112	416	31
1	2128	416	31
1	2144	416	31
1	2160	416	31
1	2176	416	31
1	2192	416	31
1	2208	416	31
1	2224	416	31
1	2240	416	31
1	2256	416	31
1	2272	416	31
1	2288	416	31
1	2304	416	31
1	2320	416	31
1	2336	416	31
1	2352	416	31
1	2368	416	31
1	2384	416	31
1	2400	416	31
1	2416	416	31
1	2432	416	31
1	2448	416	31
1	2464	416	31
1	2480	416	31
1	2496	416	31
1	2512	416	31
1	2528	416	31
1	2544	416	31
1	2560	416	32


#=====  BREAKABLE BRICK			
#===== HANG 1			
13	224	352	80
13	240	352	80
13	256	352	80
13	272	352	80
#===== HANG 2			
13	384	336	80
13	400	336	80
13	416	336	80
13	432	336	80
13	448	336	80
#===== HANG 3			
13	608	288	80
13	624	288	80
24	640	288	261
#=== MUSH ROOM GREEN
#23	640	288	172
10	640	288	171
#===== HANG 3
13	656	288	80
#===== HANG 4			
13	640	368	80
13	656	368	80
#===== HANG 5			
13	752	320	80
13	752	336	80
13	752	352	80
13	752	368	80
13	752	368	80
13	768	368	80
13	784	368	80
#===== HANG 6			
13	864	336	80
13	864	336	80
13	864	336	80
13	864	352	80
13	880	352	80
13	896	352	80
#===== HANG 7			
13	944	336	80
13	944	352	80
#18	960	352	218
#===== HANG 8			
13	960	400	80
13	976	400	80
13	992	400	80
13	1008	400	80
#===== HANG 9			
#48	1008	352	218
13	1024	352	80
13	1040	352	80
13	1056	352	80
13	1072	352	80
#===== HANG 10			
13	1152	384	80
13	1168	384	80
13	1184	384	80
13	1200	384	80
13	1216	384	80
#===== HANG 11			
13	1184	304	80
13	1200	304	80
13	1216	304	80
20	1232	304	218
#===== HANG 12			
13	1264	368	80
13	1280	368	80
#===== HANG 13			
